Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
JGDF9353,2015-001-509651,Male,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Illinois,60478
JGMM8674,2015-001-502201,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,Texas,77478
JHKU3243,2015-001-502427,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Hawaii,96707
JHTT4816,2015-001-500576,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Washington,98110
JHYZ9118,2015-001-501074,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Florida,33616
JJKF2562,2015-001-502506,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Wisconsin,53154-3758
JJYX1831,2015-001-511308,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60624
JKFH2892,2015-001-501424,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,New York,13104
JKUT1448,2015-001-511304,Female,Chinese,Summer,Harbin,45.8038,126.535,China,New Hampshire,3281
JPHC2662,2015-001-502855,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,New Jersey,7670
JPST2377,2015-001-503869,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Indiana,46236
JSBP5939,2015-001-501630,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Illinois,60201-3979
JSFE6342,2015-001-511295,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60641
JTJM8265,2015-001-502752,Female,Chinese,Year,Beijing,39.9042,116.4074,China,California,94708
JTQB1233,2015-001-502111,Female,Chinese,Year,Beijing,39.9042,116.4074,China,Michigan,49024-2396
JUQU7922,2015-001-501912,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Texas,78726
JURV2494,2015-001-503442,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Florida,33317
JUTN6465,2015-001-511284,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60647
JVBR7819,2015-001-501207,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Pennsylvania,19003
JVCY1376,2015-001-503793,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Massachusetts,1748
JVKC3682,2015-001-503446,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Pennsylvania,17601
JVWD3187,2015-001-501008,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Michigan,48381
JWTQ7556,2015-001-511289,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Mississippi,39402
JWXD9528,2015-001-503179,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Michigan,49456
JXJR4436,2015-001-500933,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Virginia,23454
JXSW2478,2015-001-501669,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Maryland,21042
JYHR7137,2015-001-503614,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Pennsylvania,15102
JYUT8368,2015-001-501057,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Wisconsin,53955
JZEG4221,2015-001-501023,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,North Carolina,28714
KACJ2633,2015-001-501775,Male,Chinese,Summer,Nanjing,32.0603,118.7969,China,South Dakota,57055
KAJS3953,2015-001-503776,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Utah,84025
KBKN7898,2015-001-509613,Male,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Texas,77011
KCCC1674,2015-001-500580,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Indiana,46256
KDUS8113,2015-001-509635,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Washington,98031
KEMH5113,2015-001-509655,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Nevada,89106
KEPH9863,2015-001-503479,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Minnesota,55434
KFVC9158,2015-001-503115,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,California,95014
KGHF1991,2015-001-502843,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Georgia,30033
KGPR4235,2015-001-502401,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,New York,10128
KHGC9184,2015-001-502329,Male,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Massachusetts,1770
KHGE6533,2015-001-502173,Female,Arabic,Year,Rabat,33.9716,6.8498,Morocco,Hawaii,96743
KKEW3789,2015-001-500983,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Texas,75024
KMHS5491,2015-001-503761,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,New York,11208
KMNV7872,2015-001-501501,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,New York,10703
KNGC5741,2015-001-501735,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Hawaii,96706
KQFY7941,2015-001-502009,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Oregon,97405
KQWM6493,2015-001-501491,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Kentucky,42301
KSTH3995,2015-001-501604,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Georgia,30040
KUCC1238,2015-001-501619,Male,Russian,Summer,Narva,59.3797,28.1791,Estonia,Virginia,22192
KUEF2318,2015-001-511292,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,94556
KUSX3177,2015-001-501529,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Oregon,97006
KVGD3793,2015-001-511471,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,94024
KWKX9418,2015-001-500988,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,New York,10022
KXGU1917,2015-001-501006,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Montana,59715
KXGV8539,2015-001-501495,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,North Carolina,27516
MAEP8596,2015-001-502319,Male,Russian,Summer,Kirov,58.4199,50.2097,Russia,Texas,76205
MAEV6613,2015-001-501037,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,North Carolina,28409
MAHJ9126,2015-001-502377,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Pennsylvania,19095
MAHZ5321,2015-001-500730,Male,Chinese,Summer,Deyang,31.1269,104.3979,China,Wisconsin,53154
MASP1833,2015-001-502155,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Montana,59715
MDTD4388,2015-001-503362,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Louisiana,70001
MFBN3163,2015-001-501141,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Florida,32968
MFYR7152,2015-001-502091,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,Illinois,60067
MGDE3521,2015-001-503350,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,California,94563
MJCV8699,2015-001-511307,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60629
MJNV6161,2015-001-501932,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Ohio,45243
MJPW3136,2015-001-503252,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,New York,10452
MJSY6731,2015-001-500620,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Pennsylvania,16870
MKJP3197,2015-001-502991,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Wisconsin,53536
MMZS4667,2015-001-503530,Male,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Wisconsin,53593
MNPJ1665,2015-001-501430,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Ohio,44028
MNYP8185,2015-001-502906,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Minnesota,55009
MPGM6874,2015-001-501129,Female,Arabic,Year,Rabat,33.9716,6.8498,Morocco,Minnesota,55129
MQHG2617,2015-001-502899,Female,Chinese,Year,Beijing,39.9042,116.4074,China,California,94112
MQXU3835,2015-001-501042,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Georgia,30338
MRSS8589,2015-001-503186,Male,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Minnesota,55129
MRZU4955,2015-001-503542,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Ohio,44139
MSDR9577,2015-001-502775,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,North Carolina,27260
MSJB9886,2015-001-503445,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,New Jersey,8840
MSPQ6393,2015-001-501842,Female,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,Colorado,80027
MSUV9579,2015-001-501595,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Virginia,22207
MTHP5652,2015-001-511297,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Connecticut,6484
MVCW6177,2015-001-511283,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4667
MVPM3628,2015-001-502615,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Oregon,97215
MWMW9782,2015-001-501999,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Minnesota,55104
MXWB3584,2015-001-502117,Female,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,Tennessee,37146
MYKQ2667,2015-001-503092,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,North Carolina,27516
MYTV6667,2015-001-501790,Male,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Wisconsin,54476
MZBU6232,2015-001-503488,Male,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Utah,84043
MZFP5917,2015-001-500559,Female,Russian,Summer,Narva,59.3797,28.1791,Estonia,Arizona,85750
MZMK1683,2015-001-502128,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Florida,33626
NADQ6643,2015-001-502589,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Pennsylvania,19038
NBBZ1812,2015-001-501664,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Ohio,45220
NBVB9732,2015-001-502287,Male,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Virginia,22180
NBXX8596,2015-001-500571,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Virginia,22102
NBYP7672,2015-001-501618,Male,Hindi,Summer,Pune,18.5204,73.8567,India,Nebraska,68502
NCPH8195,2015-001-503728,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,New Hampshire,03301-2591
NDRH3926,2015-001-502578,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Ohio,44124
NDVQ5411,2015-001-502740,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,Colorado,80401
NEAF2188,2015-001-500764,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Colorado,80020
NEGS4698,2015-001-500999,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Maryland,20838
NFCU1562,2015-001-511293,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4750
NGYB4763,2015-001-502779,Male,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Maryland,20854
NKXW2625,2015-001-511300,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Ohio,44333
NMRU4275,2015-001-500747,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Missouri,64865
NQRZ7282,2015-001-502297,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Connecticut,6903
NRBP2379,2015-001-503705,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Pennsylvania,15216
NRWR9624,2015-001-502967,Male,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Florida,32082
NSCY8547,2015-001-503473,Male,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Georgia,30316
NSWV3638,2015-001-502609,Male,Korean,Summer,Songdo,37.3839,126.6439,South Korea,South Carolina,29631
NSXA6276,2015-001-502435,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Minnesota,55409
NXHH4121,2015-001-501549,Male,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Alaska,99705
NYCR3749,2015-001-503207,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Oregon,97219
PAAU7733,2015-001-500492,Female,Turkish,Year,Izmir,38.4237,27.1428,Turkey,California,94112
PAHF5989,2015-001-511476,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60641
PAMN7295,2015-001-502987,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,New Jersey,8540
PCDD3157,2015-001-503373,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Oklahoma,74128
PCPD7515,2015-001-502803,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Illinois,60605
PCWN9635,2015-001-503878,Female,Chinese,Year,Kaohsiung,22.6273,120.3014,Taiwan,New Hampshire,3431
PJFH8161,2015-001-500736,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,North Carolina,28804
PKMR5287,2015-001-503708,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Florida,33332
PKQX1512,2015-001-500529,Female,Hindi,Summer,Pune,18.5204,73.8567,India,North Carolina,28078
PNCE9885,2015-001-502765,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Pennsylvania,18034
PPAE4728,2015-001-502454,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Utah,84108
PPKU6197,2015-001-502369,Male,Chinese,Summer,Nanjing,32.0603,118.7969,China,Tennessee,37931
PRGN8298,2015-001-502916,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Wisconsin,53012
PSKY1894,2015-001-501667,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Maryland,21237
PSTY8823,2015-001-502193,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Arizona,85323
PWPQ1616,2015-001-502652,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,California,95008
PWWG1443,2015-001-502070,Male,Turkish,Summer,Bursa,40.1885,29.061,Turkey,District of Columbia,20008
PZMY9995,2015-001-503144,Female,Chinese,Year,Beijing,39.9042,116.4074,China,Minnesota,56560
QABR7841,2015-001-511303,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4861
QATP7379,2015-001-501825,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Kentucky,42303
QBPV1413,2015-001-503300,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Texas,75211
QCEM2798,2015-001-502971,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,"Armed Forces Europe (Africa, Canada, Europe, Middle East)",9173
QCGZ4551,2015-001-503097,Male,Chinese,Year,Kaohsiung,22.6273,120.3014,Taiwan,District of Columbia,20010
QDQW6672,2015-001-502614,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Colorado,80920
QEAZ3413,2015-001-502768,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,New York,11218
QNKG3655,2015-001-502980,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Virginia,22207
QPGP8856,2015-001-501561,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Kentucky,40142
QPPE5378,2015-001-501132,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,North Carolina,27405
QQPH5733,2015-001-503367,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Iowa,52002
QSYA3967,2015-001-501025,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Nevada,89460
QUAH1955,2015-001-501607,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,California,94903
QVQT1217,2015-001-503899,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Kentucky,42103
QVZY8353,2015-001-509642,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,New York,11206
QYAV8396,2015-001-501868,Male,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,New York,10028
QYHC6555,2015-001-511311,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60639
QYYV8686,2015-001-502161,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Illinois,60565
QZGB4313,2015-001-502284,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Ohio,45750
QZHT8649,2015-001-500718,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Pennsylvania,16066
RCQD7312,2015-001-502361,Female,Chinese,Summer,Zhuhai,22.271,113.5767,China,Maine,4010
RCSE5825,2015-001-502872,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Kansas,66049
RDUE8242,2015-001-509652,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Washington,98118
REDX1175,2015-001-503205,Male,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Indiana,46220
RFFH4415,2015-001-500552,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,South Carolina,29073
RFGC4736,2015-001-501309,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Maryland,21048
RFNG4334,2015-001-500929,Male,Korean,Year,Seoul,37.5665,126.978,South Korea,Virginia,22044
RGCP2869,2015-001-502189,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,Massachusetts,2446
RGWB5443,2015-001-501290,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,California,95864
RHNV6565,2015-001-503098,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Armed Forces Pacific,96379
RHUE8842,2015-001-509661,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,New Hampshire,3755
RJHM9753,2015-001-503178,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Indiana,46260
RKPC6459,2015-001-502223,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Wisconsin,54914
RNGS3333,2015-001-501513,Female,Hindi,Year,Indore,22.7196,75.8577,India,South Dakota,57754
RNXN8863,2015-001-511285,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Texas,78218
RPFX9575,2015-001-501587,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Georgia,31211
RPRT1464,2015-001-502334,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Oregon,97006
RPTF2986,2015-001-501565,Female,Chinese,Year,Changzhou,31.8112,119.9741,China,Tennessee,37932
RPYM7938,2015-001-501836,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,Michigan,48103-9401
RQRX5597,2015-001-503599,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Ohio,43017
RTJR5746,2015-001-501113,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Washington,98075
RTMF8434,2015-001-511312,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4402
RTWC1182,2015-001-502453,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,California,92660
RUAE9442,2015-001-501418,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Michigan,48183
RZFN5286,2015-001-502133,Female,Turkish,Year,Izmir,38.4237,27.1428,Turkey,Colorado,80210
RZHR6846,2015-001-502392,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Vermont,5465
RZVU7218,2015-001-503138,Male,Russian,Summer,Kirov,#N/A,#N/A,Russia,,266333
SAFB4771,2015-001-500914,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,California,90403
SBKA3687,2015-001-503913,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Illinois,60005
SBKU5679,2015-001-511313,Male,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60638
SBTF1697,2015-001-502058,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,California,91107
SBXS9797,2015-001-501769,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Nebraska,68018
SDCF4825,2015-001-501554,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Vermont,5401
SDCQ7991,2015-001-502268,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,Illinois,60010
SDHP3493,2015-001-502124,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Illinois,60404
SDJW9945,2015-001-502672,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Alabama,35801
SDQE2179,2015-001-501974,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Illinois,60707
SEJN9597,2015-001-502172,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Arizona,85253
SGZZ8271,2015-001-511286,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4461
SJCB8367,2015-001-503244,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Pennsylvania,19130
SKTR3641,2015-001-500934,Male,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Pennsylvania,19153
SMYF5929,2015-001-511299,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4046
SSAF1995,2015-001-501426,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Hawaii,96817
STPV1984,2015-001-500771,Male,Chinese,Summer,Deyang,31.1269,104.3979,China,South Carolina,29482
STSW9137,2015-001-501066,Male,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Virginia,22044
SVAQ7565,2015-001-502221,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Colorado,81005
SWGV5285,2015-001-503426,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Maine,4474
SWPR3486,2015-001-503398,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Nevada,89123
